id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
66uOdETddAzc1wL9Fo52DC,Dave Burrell And Tyrone Brown-Existence,Vision Live,548Q3sDBLEcGT5asviycNq,"['Dave Burrell', 'Tyrone Brown Experience']","['5CsxtursJ0wOOXyIdGaJKr', '0xV4oFXGzOpkx7zjZbS4f1']",2,1,False,0.4970000000000001,0.149,7,-21.526,1,0.1159999999999999,0.7979999999999999,0.916,0.461,0.395,116.696,474360,4.0,2003,2003-05-23
0sfNS6Ooi2xBSipkLADpYD,"Overture (Suite) in D Minor, Op. 1, No. 4: III. Rondeau",Fischer: Journal Du Printemps (Le),2jgS9ES3lK5snnp3FiTBZn,"['Johann Caspar Ferdinand Fischer', ""L'Orfeo Barockorchester"", 'Michi Gaigg']","['7sXAVthOkTij6kHb4fNpeR', '3CKoEQfkqyYVxdnkmk6iVz', '6NGdU8Ovzpyovq50TRjjHN']",22,1,False,0.65,0.0747,1,-25.404,0,0.0684,0.828,2.83e-06,0.0537,0.7709999999999999,117.864,46787,4.0,2007,2007-01-01
2t46nsS50t8psGAISpAhuD,"Piano Sonata No. 9 in C Major, Op. 103: IV. Allegro con brio, ma non troppo presto",Prokofiev: Piano Works,1qXtfq5DtlgzfaRVaOisyj,"['Sergei Prokofiev', 'Anne-Marie McDermott']","['4kHtgiRnpmFIV5Tm4BIs8l', '0VRfz31wvKhCJEXieVtaI4']",9,2,False,0.39,0.0624,0,-21.122,1,0.0382,0.991,0.866,0.172,0.0783,133.395,342107,4.0,2009,2009-05-12
532nGP1K7FHGlZDxzA8wFz,The Siege of Justiceville,They Live - Expanded Original Motion Picture Soundtrack 20th Anniversary Edition,3ldkTlPMocOmBg1YRg2ASb,"['John Carpenter', 'Alan Howarth']","['0hxQtmgWiPtEsDPeIuKxXq', '3Ia5S5H9yoQpc9Hqy0cqAU']",4,1,False,0.916,0.509,11,-15.372,0,0.0678,0.0141,0.911,0.1119999999999999,0.122,107.864,340000,4.0,1989,1989-11-21
4ipM6TMRoYItfDJo6nTm9H,"Die Kunst der Fuge, BWV 1080 (Arr. for Chamber Ensemble): Contrapunctus XI a 4","Bach: Die Kunst der Fuge (The Art of Fugue), BWV 1080",4uWtspl2axiDvNd4KdAUD2,"['Anonymous', 'Johann Sebastian Bach', 'Il Suonar Parlante']","['4kCZ5nyurc9eIqLJfUcW0Y', '5aIqB5nVVvmFsvSdExz408', '4wYnP6MYlliRptX8smdtQJ']",11,1,False,0.135,0.23,1,-15.431,0,0.0492,0.883,0.00055,0.18,0.2,78.749,298453,4.0,2015,2015-03-01
6T1AjaUGzzGb1dX1AVMNwc,Give In To Love,Love Machine - The Best Of Billy Griffin,2jpNVciviirT3oCW67rlqL,['Billy Griffin'],['1C4zTmHRkm3XRJSex4vTiZ'],10,1,False,0.7040000000000001,0.626,0,-12.39,0,0.0464,0.0637,0.000185,0.0761,0.908,124.036,257467,4.0,2011,2011-03-14
1BpGcdFHGRfFQw1u7G1QZR,"Il barbiere di Siviglia (The Barber of Seville): Act I Duetto: All'idea di quel metallo (Figaro, Conte)",Great Opera,4Lr9T2M0T0hI1VlV4JlLCn,"['Gioachino Rossini', 'Franco de Grandis', 'Sonia Ganassi', 'Ingrid Kertesi', 'Angelo Romero', 'Roberto Servile', 'Ramón Vargas', 'Hungarian Radio Chorus', 'Budapest Failoni Chamber Orchestra', 'Will Humburg']","['0roWUeP7Ac4yK4VN6L2gF4', '47IXWrZgW8G5ASWOSNkvPI', '0HRnAb829f5omFs4moz3oX', '6x4el9ubPjlFACBwKh0VG9', '70qQMKZ7T4ef2CjQauRxr1', '5p82J9nrI5NT6d0ViMjdSt', '36cp3vARoTcgBAuhIAOfls', '4o2cKpvx2MSjV1hrq0XRvF', '7w6HlJdHl67FIA8WGHCoNX', '0O6wGAZW7I1Fn59kpxrjCv']",4,3,False,0.4579999999999999,0.239,7,-20.431,1,0.108,0.967,2.54e-05,0.317,0.3979999999999999,133.624,515093,4.0,2012,2012-05-01
43SeRfTIBOYVviNSKwq6vW,Id Slips In,Information Highway Revisited,5jp7Aw8S8RLNJhceVByjtk,['New Bomb Turks'],['5J17u3xQnvNm5GW5k50foj'],1,1,False,0.2269999999999999,0.984,0,-9.724,1,0.1009999999999999,0.000261,0.72,0.123,0.216,121.883,205720,4.0,1994,1994
5WMOQV4RNAChSECDGDa1GO,Survey Says,"""!""",0HZgZ0RLpO5lRCT6Upc54O,['Dismemberment Plan'],['2JpHk8yju1DH1l3c9sXzOS'],1,1,False,0.319,0.911,1,-6.794,0,0.0423,0.00364,0.0026,0.263,0.77,90.16,128387,3.0,1996,1996-01-01
17DlvH9IzgUetU4EYTzb6A,All,Sunday School,2pKZMyALcdvxT547DSQ7JH,['Tree'],['5ABlNXUNKppEgicfzWsaSQ'],2,1,True,0.6920000000000001,0.509,10,-3.606,0,0.14,0.0852,0.0,0.0957,0.461,140.05200000000002,194064,4.0,2012,2012-03-11
5QR5S1KrOwKZ7CeUNmG5y6,"Gates Of Hell - Live, Meanwhile Gardens, Summer, 1983",May Inspire Revolutionary Acts,4TW1uSS7e7n5nsJfwa5rrN,['The Mob'],['7nLU9AbWLcRrycbN02e8qT'],19,1,False,0.25,0.959,9,-9.472,1,0.0908,0.000437,0.563,0.4679999999999999,0.246,150.697,149680,4.0,2007,2007-11-19
1HkAiVdzgttlbrxvgFIlwh,Baby I Miss You,Tell Me This Is a Dream (Expanded Version),2jOEnosh3mYjrVAqPThwdw,['The Delfonics'],['6YPRXu1dazGYcSZv4HJEH4'],8,1,False,0.364,0.374,0,-10.666,1,0.0327,0.82,1.7e-06,0.135,0.569,127.441,201307,4.0,1972,1972
38RFkkdyDmc5wZkxvsUlNK,Starshower - 1st Movement,Celestial Zen,3yPRjQWptQvETB2zzNmIBG,['David & Steve Gordon'],['4yt002Vil1q4Vl9JOx48QG'],1,1,False,0.161,0.381,11,-13.324000000000002,1,0.0385,0.5,0.7659999999999999,0.0972,0.0371,133.769,401560,5.0,2012,2012-04-12
3eJTS7XtfClQL3jZfBQ8q0,Mexico Can Wait (feat. DJ Remy) - Gabriel Ananda Remix,Global Underground: TWENTY (Digital Sampler),5SVlwcF8gtfb7XFFEsGSdg,"['Roland Klinkenberg', 'Gabriel Ananda']","['6EN9LJHqoZG0mgxLvedhcA', '3YpEUCjdLuPmBspkmoPYnX']",20,1,False,0.789,0.677,11,-12.864,0,0.0434,0.35,0.937,0.113,0.412,125.066,572160,4.0,2016,2016-10-28
4SZc55WJw3DYAaibM6vzV1,Circle Song,Slack Key Guitar Volume 2,01uSU6WrXiKz91P1xAZFB7,['Keoki Kahumoku'],['5JyCeduiITiR4Fy4iP01dm'],5,1,False,0.324,0.175,7,-18.745,1,0.0459,0.952,0.946,0.174,0.275,74.263,151880,4.0,2004,2004-06-30
4XVD3yGfr7y9XsfJEDNd4O,Tatar,Bacon,1HhFC5t3C359vP1gE47ahh,['Mikkel Meyer'],['3FfkwsIuSQbPbjcOWSgeWT'],1,1,False,0.69,0.701,8,-8.405,0,0.12,0.00361,0.8290000000000001,0.1159999999999999,0.607,142.859,257947,4.0,2009,2009-11-20
6fnCCr77SLKt2QMV90Sh1S,The Shadow of Your Smile,Kelly,5exOrWEA5q8T5f3oZNPjPq,['Kelly Mittleman'],['0m8zAyiEAbiumUtKBzUBxS'],3,1,False,0.531,0.345,9,-16.895,0,0.0353,0.368,0.031,0.1,0.586,171.975,250427,4.0,2006,2006-01-01
4jEfdb4Do8Hh9zkwvvzGbJ,Nick Van Dijk,Unwind,4xyMBScsawPZyXrCXH6OaC,"['Hayden Chisholm', 'Norman Meehan', 'Paul Dyne']","['1Yg6bZ6S9YzNlDSeB0ou2G', '5A3y8usTmklSv3w9dxF3bG', '0BkBcFXUYZxxeVx8CgV1t6']",10,1,False,0.439,0.0712,5,-21.706,0,0.0345,0.972,0.912,0.115,0.222,101.904,259920,4.0,2017,2017-10-13
4x4VLWuD5gBDvEEIqkCuoF,Sirenas ocultas,Natura,0sYRsaG5V2WR9i4ZbPYQ4d,['Terra'],['3QQgSZdlSgqdlLZfzzlnBM'],3,1,False,0.241,0.226,0,-17.124000000000002,1,0.0368,0.935,0.963,0.387,0.0622,129.296,277467,4.0,1997,1997-09-01
4ik0eNu3aSiB7gKlFmSZid,Fake - Metro Remix,London Club Remixes,4LM3yx79VVmlrnyDfbheww,['Sergey Lazarev'],['69GGH3fqk8waBkpDJ5C2mK'],7,2,False,0.705,0.932,9,-6.473,0,0.0468,0.000173,0.366,0.331,0.7979999999999999,130.014,397987,4.0,2012,2012-08-14
7h0ua2NID4KBYNjs401sxT,The Cabin,Raise 'em All,3dQ7S6VtgQfNR4XTSGor1I,['Irish Moutarde'],['5G57ycjj8BsL5ynIN06l7P'],3,1,False,0.456,0.973,11,-3.712,0,0.0798,0.00116,0.000755,0.322,0.5329999999999999,180.032,157876,4.0,2013,2013-09-17
1QKIbRIZcAHtbfYDg4B2Mp,Bubba Hyde,Love A Little Stronger,0TZE0sMIO8Ifib83SP7qxM,['Diamond Rio'],['0svyIX7Xu3DVMkrOtB88i6'],7,1,False,0.741,0.516,2,-9.775,0,0.0375,0.3329999999999999,7.36e-06,0.0579,0.743,116.236,224973,4.0,1994,1994-07-19
